"dep_time","bicycle","bicycle-car-pt-walk","bicycle-pt-walk","car-pt-walk","car-walk","pt-walk","ride-walk","walk"
1,0,0,0,0,0,0,1,0
2,2,0,0,0,0,0,1,0
3,1,0,0,0,0,1,0,3
4,0,0,0,0,4,2,3,9
5,6,0,0,0,5,2,0,18
6,13,0,1,0,20,12,2,28
7,24,0,0,0,19,15,2,62
8,21,0,0,0,27,22,4,89
9,18,0,0,0,32,28,4,112
10,19,1,1,1,32,27,5,120
11,28,0,2,1,21,31,2,100
12,33,0,3,0,37,42,8,77
13,26,0,3,0,25,36,8,85
14,25,0,2,0,33,30,6,81
15,25,0,0,0,39,23,3,90
16,21,0,1,0,23,27,3,66
17,21,0,5,0,36,30,5,52
18,17,0,0,0,23,28,3,53
19,14,0,2,0,19,19,4,42
20,10,0,0,0,23,8,2,15
21,6,0,0,0,10,4,0,19
22,0,0,0,0,6,2,2,7
23,0,0,0,0,2,2,0,3
