"dep_time","home","leisure","other","shopping","work"
0,64,64,60,29,0
1,65,34,35,19,1
2,80,15,46,24,0
3,128,22,53,16,1
4,297,32,126,36,0
5,1564,102,202,65,2
6,3104,147,452,132,46
7,3667,218,884,202,230
8,4175,302,1273,783,616
9,3872,884,1445,1265,895
10,3053,1383,1619,1329,913
11,2561,1257,1605,1407,910
12,2236,1217,1632,1353,943
13,1993,1126,1606,1378,1316
14,1569,1194,1564,1349,1647
15,1423,1135,1408,1353,1970
16,1168,1084,1341,1221,2369
17,1049,1035,1197,1189,2461
18,922,1012,982,1053,2090
19,650,825,707,1001,1490
20,389,691,622,356,146
21,311,410,413,155,10
22,173,218,247,97,3
23,107,116,119,57,2
