"base_mode";"policy_mode";"n"
"bicycle";"bicycle";17224
"bicycle";"bicycle-pt";4
"bicycle";"bicycle-pt-walk";71
"bicycle";"car-pt-walk";4
"bicycle";"car-walk";1157
"bicycle";"pt-walk";799
"bicycle";"walk";368
"bicycle-car-pt-walk";"bicycle-pt-walk";1
"bicycle-car-pt-walk";"car-pt-walk";1
"bicycle-car-pt-walk";"car-walk";8
"bicycle-car-pt-walk";"pt-walk";12
"bicycle-pt";"bicycle";2
"bicycle-pt";"bicycle-pt";1
"bicycle-pt";"bicycle-pt-walk";1
"bicycle-pt";"car-walk";1
"bicycle-pt";"pt-walk";7
"bicycle-pt-walk";"bicycle";70
"bicycle-pt-walk";"bicycle-car-pt-walk";5
"bicycle-pt-walk";"bicycle-pt-walk";295
"bicycle-pt-walk";"car-pt-walk";25
"bicycle-pt-walk";"car-walk";88
"bicycle-pt-walk";"pt-walk";806
"bicycle-pt-walk";"walk";13
"car-pt-walk";"bicycle";1
"car-pt-walk";"bicycle-car-pt-walk";3
"car-pt-walk";"bicycle-pt-walk";20
"car-pt-walk";"car-pt-walk";8
"car-pt-walk";"car-walk";25
"car-pt-walk";"pt-walk";42
"car-pt-walk";"walk";2
"car-walk";"bicycle";1149
"car-walk";"bicycle-car-pt-walk";3
"car-walk";"bicycle-pt";1
"car-walk";"bicycle-pt-walk";96
"car-walk";"car-pt-walk";23
"car-walk";"car-walk";23497
"car-walk";"pt-walk";739
"car-walk";"walk";411
"pt-walk";"bicycle";741
"pt-walk";"bicycle-car-pt-walk";8
"pt-walk";"bicycle-pt";5
"pt-walk";"bicycle-pt-walk";764
"pt-walk";"car-pt-walk";39
"pt-walk";"car-walk";844
"pt-walk";"pt-walk";15865
"pt-walk";"walk";257
"ride-walk";"ride-walk";7562
"walk";"bicycle";340
"walk";"bicycle-car-pt-walk";1
"walk";"bicycle-pt-walk";21
"walk";"car-pt-walk";5
"walk";"car-walk";372
"walk";"pt-walk";292
"walk";"walk";28612
